Fundamentals of Power Electronics	Robert W. Erickson, Dragan Maksimovic	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-0-306-48048-5
Handbook of the Life Course	Jeylan T. Mortimer, Michael J. Shanahan	Humanities, Social Sciences and Law	https://link.springer.com/openurl?genre=book&isbn=978-0-306-48247-2
All of Statistics	Larry Wasserman	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-0-387-21736-9
Social Anxiety and Social Phobia in Youth	Christopher Kearney	Behavioral Science	https://link.springer.com/openurl?genre=book&isbn=978-0-387-22592-0
Discrete Mathematics	László Lovász, József Pelikán, Katalin Vesztergombi	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-0-387-21777-2
Developmental Neurobiology	Mahendra S. Rao, Marcus Jacobson	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-0-387-28117-9
Intuitive Probability and Random Processes using MATLAB®	Steven Kay	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-0-387-24158-6
Handbook of Disaster Research	Havidan Rodriguez, Enrico L. Quarantelli, Russell Dynes	Humanities, Social Sciences and Law	https://link.springer.com/openurl?genre=book&isbn=978-0-387-32353-4
Handbook of the Sociology of Gender	Janet Saltzman Chafetz	Humanities, Social Sciences and Law	https://link.springer.com/openurl?genre=book&isbn=978-0-387-36218-2
Handbook of Sociological Theory	Jonathan H. Turner	Humanities, Social Sciences and Law	https://link.springer.com/openurl?genre=book&isbn=978-0-387-36274-8
Clinical Neuroanatomy	John Mendoza, Anne Foundas	Behavioral Science	https://link.springer.com/openurl?genre=book&isbn=978-0-387-36601-2
Acquired Brain Injury	Jean Elbaum, Deborah Benson	Behavioral Science	https://link.springer.com/openurl?genre=book&isbn=978-0-387-37575-5
Numerical Optimization	Jorge Nocedal, Stephen Wright	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-0-387-40065-5
Handbook of Biological Confocal Microscopy	James Pawley	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-0-387-45524-2
Ceramic Materials	C. Barry Carter, M. Grant Norton	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-0-387-46271-4
Principles of Fluorescence Spectroscopy	Joseph R. Lakowicz	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-0-387-46312-4
Fundamentals of Biomechanics	Duane Knudson	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-0-387-49312-1
Primer on the Rheumatic Diseases	John H. Klippel, John H. Stone, L eslie J. Crofford, Patience H. White	Medicine	https://link.springer.com/openurl?genre=book&isbn=978-0-387-68566-3
International Handbook of Historical Archaeology	Teresita Majewski, David Gaimster	Humanities, Social Sciences and Law	https://link.springer.com/openurl?genre=book&isbn=978-0-387-72071-5
Database Marketing	Robert C. Blattberg, Byung-Do Kim, Scott A. Neslin	Business and Economics	https://link.springer.com/openurl?genre=book&isbn=978-0-387-72579-6
Composite Materials	Krishan K. Chawla	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-0-387-74365-3
Time Series Analysis	Jonathan D. Cryer, Kung-Sik Chan	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-0-387-75959-3
Transmission Electron Microscopy	David B. Williams, C. Barry Carter	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-0-387-76501-3
Handbook of Quantitative Criminology	Alex R. Piquero, David Weisburd	Humanities, Social Sciences and Law	https://link.springer.com/openurl?genre=book&isbn=978-0-387-77650-7
Plant Physiological Ecology	Hans Lambers, F Stuart Chapin III, Thijs L. Pons	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-0-387-78341-3
Introductory Statistics with R	Peter Dalgaard	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-0-387-79054-1
The Elements of Statistical Learning	Trevor Hastie, Robert Tibshirani, Jerome Friedman	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-0-387-84858-7
Psychology, Religion, and Spirituality	James M. Nelson	Behavioral Science	https://link.springer.com/openurl?genre=book&isbn=978-0-387-87573-6
Introductory Time Series with R	Paul S.P. Cowpertwait, Andrew V. Metcalfe	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-0-387-88698-5
Child Neuropsychology	Margaret Semrud-Clikeman, Phyllis Anne Teeter Ellison	Behavioral Science	https://link.springer.com/openurl?genre=book&isbn=978-0-387-88963-4
A Beginner's Guide to R	Alain Zuur, Elena N. Ieno, Erik Meesters	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-0-387-93837-0
